id,x,y
962,2.35412,48.63854
963,2.35599,48.63779
964,2.35234,48.63948
965,2.35524,48.63902
966,2.35682,48.83325
967,2.35473,48.83488
968,2.35833,48.83643
969,2.35355,48.83436
970,2.35611,48.83553
971,2.35707,48.83477
972,2.35252,48.83584
973,2.35513,48.83721
974,2.35358,48.83641
975,2.35299,48.83719
976,2.35325,48.83622
977,2.35417,48.83554
978,2.35319,48.83487
979,2.35471,48.83597
980,2.35693,48.83879
981,2.35857,48.83896
982,2.35875,48.83584
983,2.35775,48.83723
984,2.35636,48.83669
985,2.35592,48.83813
986,2.35594,48.83805
987,2.35809,48.8375
988,2.35718,48.8382
989,2.35626,48.83666
990,2.35602,48.83686
991,2.35924,48.83902
992,2.35956,48.83859
993,2.35831,48.83806
994,2.35786,48.83858
995,2.35282,48.83205
996,2.35437,48.8317
997,2.35291,48.83222
998,2.35556,48.83424
999,2.35422,48.8334
1000,2.35275,48.83167
1001,2.35165,48.8321
1002,2.35059,48.83165
1003,2.3499,48.83207
1004,2.34867,48.83128
1005,2.35136,48.83299
1006,2.35077,48.83494
1007,2.34912,48.83456
1008,2.34815,48.83099
1009,2.34721,48.83029
1010,2.35907,48.82727
1011,2.35709,48.82675
1012,2.35158,48.83863
1013,2.3527,48.8371
1014,2.35102,48.83802
1015,2.35187,48.83823
1016,2.35368,48.83838
1017,2.35216,48.83783
1018,2.3532,48.83891
1019,2.35365,48.82599
1020,2.35293,48.82756
1021,2.35147,48.82689
1022,2.35223,48.82673
1023,2.35441,48.82678
1024,2.35457,48.83035
1025,2.35278,48.82991
1026,2.35279,48.82982
1027,2.34707,48.833
1028,2.34718,48.83282
1029,2.34705,48.83044
1030,2.34712,48.83112
1031,2.3477,48.83158
1032,2.34944,48.82983
1033,2.35059,48.83694
1034,2.35071,48.83689
1035,2.35207,48.8408
1036,2.35219,48.843
1037,2.35341,48.84293
1038,2.35359,48.84237
1039,2.3527,48.84272
1040,2.35214,48.84269
1041,2.35366,48.84211
1042,2.35451,48.84228
1043,2.35448,48.84239
1044,2.35398,48.84066
1045,2.35486,48.83926
1046,2.29277,48.87358
1047,2.29321,48.87129
1048,2.29419,48.87097
1049,2.29738,48.8711
1050,2.29679,48.87112
1051,2.29557,48.87051
1052,2.29527,48.87033
1053,2.29422,48.87865
1054,2.29552,48.88127
1055,2.29835,48.87772
1056,2.29845,48.87785
1057,2.29624,48.87544
1058,2.29845,48.8752
1059,2.30105,48.87494
1060,2.30125,48.8758
1061,2.3012,48.87624
1062,2.29708,48.87313
1063,2.29841,48.87384
1064,2.39367,48.84715
1065,2.39229,48.84646
1066,2.39178,48.84661
1067,2.39443,48.8463
1068,2.39504,48.84751
1069,2.39684,48.84844
1070,2.39661,48.84879
1071,2.34379,48.8926
1072,2.34384,48.89276
1073,2.34447,48.89457
1074,2.33302,48.8941
1075,2.33636,48.89363
1076,2.33262,48.83343
1077,2.33379,48.83024
1078,2.33014,48.85214
1079,2.33193,48.85246
1080,2.33533,48.85132
1081,2.33529,48.85168
1082,2.3359,48.85248
1083,2.3352,48.85245
1084,2.33272,48.84949
1085,2.33173,48.84935
1086,2.33272,48.85026
1087,2.3318,48.85027
1088,2.33103,48.84824
1089,2.33101,48.84851
1090,2.33075,48.85083
1091,2.33189,48.85074
1092,2.32967,48.84204
1093,2.3288,48.84506
1094,2.32865,48.84559
1095,2.32882,48.84568
1096,2.33258,48.84866
1097,2.33256,48.84836
1098,2.33098,48.84707
1099,2.32731,48.84645
1100,2.32746,48.84649
1101,2.32915,48.8438
1102,2.33007,48.84436
1103,2.33598,48.84927
1104,2.33594,48.84963
1105,2.33733,48.84931
1106,2.3384,48.85172
1107,2.33705,48.85176
1108,2.33841,48.8498
1109,2.33843,48.84918
1110,2.32956,48.84243
1111,2.33062,48.84399
1112,2.32983,48.84272
1113,2.33009,48.84265
1114,2.33135,48.84332
1115,2.33243,48.84486
1116,2.33289,48.84438
1117,2.33649,48.84429
1118,2.33627,48.8411
1119,2.33462,48.84259
1120,2.33637,48.84254
1121,2.33754,48.84131
1122,2.3374,48.84142
1123,2.33746,48.84252
1124,2.33869,48.84336
1125,2.33752,48.8434
1126,2.3378,48.84174
1127,2.33741,48.84184
1128,2.33611,48.84104
1129,2.33617,48.84025
1130,2.33694,48.84033
1131,2.33674,48.84042
1132,2.33258,48.84162
1133,2.33305,48.84131
1134,2.33486,48.84234
1135,2.33521,48.84198
1136,2.33634,48.84196
1137,2.33731,48.84093
1138,2.33659,48.84014
1139,2.33681,48.84007
1140,2.34275,48.84839
1141,2.3429,48.84867
1142,2.33847,48.85181
1143,2.33909,48.85152
1144,2.33892,48.85173
